person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
953,"Wright, Lorenzen",Lorenzen Wright,f,1996,2008,lorenzen_wright,Y,Forward,1996,1,,,6,11,6.9,255,13,55,Memphis,USA,Memphis/USA
956,"Dampier, Erick",Erick Dampier,f,1996,2011,erick_dampier,Y,Center,1996,1,,,6,11,6.9,265,16,25,Mississippi State,USA,Mississippi State/USA
979,"O'Neal, Jermaine",Jermaine O'Neal,f,1996,2013,jermaine_o'neal,Y,Center,1996,1,,,6,11,6.9,255,17,7,Eau Claire HS (SC),USA,Eau Claire HS (SC)/USA
981,"Rentzias, Efthimios",Efthimios Rentzias,f,2002,2002,efthimios_rentzias,Y,Center,1996,1,,,6,11,6.9,250,1,14,PAOK (Greece),Greece,Greece/Greece
1006,"Williams, Herb",Herb Williams,f,1981,1998,herb_williams,Y,Center,1981,1,,,6,11,6.9,260,17,32,Ohio State,USA,Ohio State/USA
1024,"Llamas, Horacio",Horacio Llamas,f,1996,2002,horacio_llamas,Y,Center,,,,,6,11,6.9,285,2,54,Grand Canyon,USA,Grand Canyon ''96/USA
1043,"McCaskill, Amal",Amal McCaskill,f,1996,2003,amal_mccaskill,Y,Center,1996,2,,,6,11,6.9,235,4,0,Marquette,USA,Marquette/USA
1051,"Garrett, Dean",Dean Garrett,f,1996,2001,dean_garrett,Y,Center,1988,2,,,6,11,6.9,250,5,22,Indiana,USA,Indiana/USA
1061,"Cunningham, William",William Cunningham,f,1997,1998,william_cunningham,Y,Center,,,,,6,11,6.9,240,1,51,Temple,USA,Temple/USA
1117,"Shasky, John",John Shasky,f,1988,1990,john_shasky,Y,Center,1986,3,,,6,11,6.9,235,2,55,Minnesota,USA,Minnesota/USA
1123,"Kite, Greg",Greg Kite,f,1983,1994,greg_kite,Y,Center,1983,1,,,6,11,6.9,250,11,54,Brigham Young,USA,Brigham Young/USA
1136,"Szabo, Brett",Brett Szabo,f,1996,1996,brett_szabo,Y,Center,,,,,6,11,6.9,230,0,43,Augustana (SD),USA,Augustana (S.D.)/USA
1434,"Tarlac, Dragan",Dragan Tarlac,f,2000,2000,dragan_tarlac,Y,Center,1995,2,,,6,11,6.9,270,0,12,Croatia,USA,Olympiakos (Greece)/USA
1495,"Duncan, Tim",Tim Duncan,f,1997,2015,tim_duncan,Y,Center,1997,1,,,6,11,6.9,250,19,21,Wake Forest,US Virgin Islands,Wake Forest/US Virgin Islands
1499,"Battie, Tony",Tony Battie,f,1997,2011,tony_battie,Y,Center,1997,1,,,6,11,6.9,240,14,4,Texas Tech,USA,Texas Tech/USA
1509,"Cato, Kelvin",Kelvin Cato,f,1997,2006,kelvin_cato,Y,Center,1997,1,,,6,11,6.9,275,10,26,Iowa State,USA,Iowa State/USA
1513,"Pollard, Scot",Scot Pollard,f,1997,2007,scot_pollard,Y,Center,1997,1,,,6,11,6.9,278,11,66,Kansas,USA,Kansas/USA
1535,"Lawson, Jason",Jason Lawson,f,1997,2002,jason_lawson,Y,Center,1997,2,,,6,11,6.9,240,1,55,Villanova,USA,Villanova ''97/USA
1542,"Drobnjak, Predrag",Predrag Drobnjak,f,2001,2004,predrag_drobnjak,Y,Center,1997,2,,,6,11,6.9,270,4,14,Yugoslavia,Yugoslavia,Serbia & Montenegro/Yugoslavia
1593,"Shackleford, Charles",Charles Shackleford,f,1988,1998,charles_shackleford,Y,Center,1988,2,,,6,11,6.9,245,5,33,North Carolina State,USA,North Carolina State/USA
1711,"LaFrentz, Raef",Raef LaFrentz,f,1998,2008,raef_lafrentz,Y,Center,1998,1,,,6,11,6.9,240,10,9,Kansas,USA,Kansas/USA
1720,"Doleac, Michael",Michael Doleac,f,1998,2007,michael_doleac,Y,Center,1998,1,,,6,11,6.9,262,10,51,Utah,USA,Utah/USA
1721,"Clark, Keon",Keon Clark,f,1998,2003,keon_clark,Y,Center,1998,1,,,6,11,6.9,221,6,13,Nevada-Las Vegas,USA,Nevada-Las Vegas ''98/USA
1745,"Shaw, Casey",Casey Shaw,f,1998,2002,casey_shaw,Y,Center,1998,2,,,6,11,6.9,255,1,53,Toledo,USA,Toledo ''98/USA
1801,"Kerner, Jonathan",Jonathan Kerner,f,1998,2002,jonathan_kerner,Y,Center,,,,,6,11,6.9,245,1,44,East Carolina,USA,East Carolina ''97/USA
1847,"Bailey, Thurl",Thurl Bailey,f,1983,1998,thurl_bailey,Y,Forward,1983,1,,,6,11,6.9,247,11,41,North Carolina State,USA,North Carolina State/USA
1902,"Foster, Jeff",Jeff Foster,f,1999,2011,jeff_foster,Y,Forward,1999,1,,,6,11,6.9,250,12,10,Texas State,USA,Texas State/USA
1915,"Eschmeyer, Evan",Evan Eschmeyer,f,1999,2003,evan_eschmeyer,Y,Center,1999,2,,,6,11,6.9,250,4,0,Northwestern,USA,Northwestern ''99/USA
